cc_num,recency,frequency,monetary,avg_txn_amt,max_txn_amt,std_txn_amt,unique_merchants,unique_states,unique_categories,night_txn_count,weekend_txn_count,avg_distance_km,fraud_flag,fraud_txn_count,gender,state,customer_age,city_pop,job,night_txn_pct,weekend_txn_pct
60416207185,0,1518,85043.47,56.02336627140975,3075.09,122.63263502820404,575,1,14,226,495,73.80399715800242,1,9,F,WY,32,1645,Information systems manager,0.14888010540184454,0.32608695652173914
60422928733,0,1531,105640.2,69.00078380143697,1290.37,102.68196160344647,578,1,14,469,516,79.17267125746693,1,12,M,SC,76,46944,Secondary school teacher,0.30633572828216854,0.3370346178967995
60423098130,2,510,58673.630000000005,115.04633333333334,27119.77,1202.9880053384977,338,1,14,111,171,77.27873808751085,1,10,M,OK,60,83,Barrister's clerk,0.21764705882352942,0.3352941176470588
60427851591,1,528,59129.61,111.98789772727272,1164.36,143.31065325961396,358,1,14,114,166,75.218839820353,1,14,M,OK,42,2142,Politician's assistant,0.2159090909090909,0.3143939393939394
60487002085,0,496,25160.11,50.72602822580645,750.39,65.84396855676493,346,1,14,77,160,79.56546508676308,0,0,M,MS,46,233060,"Horticulturist, commercial",0.15524193548387097,0.3225806451612903
60490596305,0,1010,73531.44,72.80340594059406,1308.16,127.35722781138632,486,1,14,252,342,77.16272562682121,1,10,F,AR,55,222,"Programmer, applications",0.2495049504950495,0.33861386138613864
60495593109,0,518,29523.69,56.99554054054054,514.79,65.34697836494598,347,1,14,152,190,78.24286347652468,0,0,M,TX,76,1263321,Television camera operator,0.29343629343629346,0.3667953667953668
501802953619,0,1559,105725.56,67.81626683771648,5386.67,198.87612154999482,580,1,14,366,568,75.69472332306921,1,7,M,CA,60,308,Call centre manager,0.23476587556125722,0.36433611289288004
501818133297,56,8,4946.54,618.3175,1084.02,420.5975036183643,8,1,3,3,7,68.31347154536755,1,8,M,FL,78,172247,Chief Marketing Officer,0.375,0.875
501828204849,1,515,37041.66,71.92555339805826,1600.14,143.46730835818778,353,1,14,142,169,74.90762070072135,1,8,F,KS,60,602,"Buyer, industrial",0.2757281553398058,0.32815533980582523
501831082224,0,1026,62874.97,61.28164717348928,1088.26,92.38898919463362,501,1,14,269,379,76.051332180505,1,8,M,PA,56,1762,Armed forces logistics/support/administrative officer,0.2621832358674464,0.36939571150097467
501851115094,453,15,6467.8099999999995,431.1873333333333,1256.43,449.6235098147062,15,1,5,8,11,69.57068738783938,1,15,F,WA,19,1439,"Pilot, airline",0.5333333333333333,0.7333333333333333
501882822387,0,506,33222.23,65.656581027668,3126.03,177.37327342950906,341,1,14,142,185,79.20188542001341,0,0,F,MS,57,2799,"Therapist, horticultural",0.28063241106719367,0.36561264822134387
501894933032,342,7,3741.75,534.5357142857143,1031.8,404.64633013934287,6,1,3,4,7,83.61482783457309,1,7,F,NY,70,1577385,Dancer,0.5714285714285714,1.0
501899453424,0,1520,99202.86,65.26503947368421,4154.78,140.43346439337648,576,1,14,476,538,78.32401739041049,1,8,F,AL,48,67082,Ceramics designer,0.3131578947368421,0.3539473684210526
502012776709,0,2001,127686.6,63.811394302848576,1667.65,112.33673740413211,616,1,14,483,685,74.57496026931842,1,14,F,NY,73,165,Naval architect,0.2413793103448276,0.3423288355822089
502038091380,0,1574,145935.23,92.71615628970775,1124.91,89.34510179866365,592,1,14,352,506,76.73980821445191,1,9,M,MO,38,1201,"Engineer, agricultural",0.22363405336721728,0.32147395171537485
502049568400,0,1032,71884.75,69.65576550387597,7772.82,257.13266177839944,511,1,14,269,366,74.04359164617641,1,5,M,CT,56,370,Health service manager,0.2606589147286822,0.3546511627906977
503848303379,0,1549,99595.92,64.29691413815365,1960.29,142.96031852410178,592,1,14,239,491,80.98022773346885,1,12,M,FL,42,3776,Sport and exercise psychologist,0.15429309231762428,0.31697869593285993
